x	y
0	0.02250953699966702
10000	-10.767228991052804
20000	-12.59016170841789
30000	8.259899238143152
40000	11.548858450159308
50000	-4.536768638682212
60000	10.574791046577474
70000	-4.220037088528788
80000	13.926378551945078
90000	-11.745900847368333
100000	-5.825538111026766
110000	18.672570066527562
120000	-2.920001611472486
130000	-0.18725158038504475
140000	10.637874526505811
150000	5.0954912721717855
160000	16.50810145867888
170000	9.409199416670992
180000	21.03441778912481
190000	-18.71639062047347
200000	-8.650859222613146
210000	-13.38749648822813
220000	27.197688723729605
230000	7.906035603399576
240000	9.860432181285555
250000	13.726106097843642
260000	26.290730206855983
270000	27.746948693310976
280000	30.55866990307029
290000	11.42655889489669
300000	12.87195036937949
310000	20.51843766060216
320000	2.673760775364263
330000	18.193347787020155
340000	16.358891844011957
350000	7.767094955462554
360000	29.54930306323653
370000	21.146636530373723
380000	15.275445595360177
390000	30.28918516607682
400000	12.161674833935713
410000	20.55557049878858
420000	23.79408461375567
430000	17.110069613134094
440000	25.90833866973127
450000	8.136980136184121
460000	20.654353492310733
470000	19.791981342708844
480000	30.305595286646025
490000	18.373647518470992
500000	27.802539346500588
510000	15.744954342687038
520000	22.964225855987568
530000	36.81100142043169
540000	26.066801257740593
550000	22.264505491833376
560000	20.43413974231205
570000	41.542780772326225
580000	41.213941211546015
590000	41.87131275994443
600000	47.09294849780397
610000	34.187177877928576
620000	44.1364188982868
630000	38.02018676026763
640000	23.953564249521612
650000	34.436990006156336
660000	31.96797467093042
670000	30.84859566750921
680000	39.60770911139594
690000	24.857504622872277
700000	15.229248435569236
710000	43.27101121993248
720000	29.771262212862734
730000	26.150916057617998
740000	29.35214712880338
750000	10.71131820063012
760000	28.420242149808622
770000	44.951928120683654
780000	42.41868432559997
790000	29.041303786101636
800000	39.62251081878536
810000	31.75597603889294
820000	43.429222268974215
830000	24.463661189224176
840000	40.131496916250896
850000	55.30967432275614
860000	47.64486965398057
870000	32.872285727838424
880000	40.07186620426783
890000	30.225725175648243
900000	43.3659218954778
910000	49.94327115022737
920000	45.246867939888276
930000	36.88093209437565
940000	38.6829581872631
950000	40.270720300360885
960000	44.660800129908736
970000	49.933992782979466
980000	56.23069796596362
990000	61.92141581824727
